City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
port alfred,100,ZA,1584322882,98,-33.59,26.89,62.99600000000005,4.81
koulamoutou,52,GA,1584322884,97,-1.13,12.47,71.20400000000005,0.66
tabuk,82,PH,1584322419,74,17.42,121.44,76.51400000000004,5.15
nikolskoye,75,RU,1584322392,55,59.7,30.79,33.8,4.0
fortuna,20,US,1584322458,70,40.6,-124.16,48.2,4.6
niquero,7,CU,1584322892,69,20.04,-77.58,71.708,6.73
codrington,0,AU,1584322176,78,-38.27,141.97,58.38800000000005,7.31
killybegs,9,IE,1584322899,88,54.63,-8.45,33.008,0.89
college,20,US,1584322901,79,64.86,-147.8,32.0,4.1
ostrovnoy,100,RU,1584322903,95,68.05,39.51,24.62000000000006,3.38
mumford,10,GH,1584322907,89,5.26,-0.76,77.97200000000004,2.42
la union,100,PE,1584322910,50,-5.4,-80.75,82.958,4.56
saint-philippe,93,RE,1584322475,74,-21.36,55.77,78.8,8.2
ribeira grande,4,PT,1584322914,79,38.52,-28.7,56.33600000000007,4.17
jamestown,1,US,1584322361,50,42.1,-79.24,30.991999999999997,3.6
pathein,67,MM,1584322918,56,16.78,94.73,84.72200000000004,3.04
lavrentiya,0,RU,1584322920,83,65.58,-171.0,25.82600000000009,3.24
atambua,99,ID,1584322922,66,-9.11,124.89,83.22800000000007,2.55
imbituba,0,BR,1584322924,64,-28.24,-48.67,75.2,3.1
garden city,1,US,1584322926,52,42.33,-83.33,35.99600000000005,2.6
rikitea,3,PF,1584322467,79,-23.12,-134.97,79.62800000000007,5.68
lebu,0,CL,1584322184,74,-37.62,-73.65,56.69600000000005,4.26
iqaluit,90,CA,1584322406,77,63.75,-68.51,-2.001999999999974,2.1
bredasdorp,76,ZA,1584322444,68,-34.53,20.04,66.2,6.2
kitui,100,KE,1584322939,94,-1.37,38.01,68.14400000000008,1.55
komsomolskiy,100,UZ,1584322942,31,40.43,71.72,48.2,4.1
hobart,20,AU,1584322464,51,-42.88,147.33,68.0,2.6
khatanga,19,RU,1584322462,93,71.97,102.5,-25.275999999999932,5.14
tezu,100,IN,1584322427,65,27.92,96.17,71.99600000000005,0.56
yatou,17,CN,1584322952,46,37.15,122.38,38.67800000000007,4.94
shashi,100,CN,1584322954,67,30.31,112.24,60.008,2.03
butaritari,88,KI,1584322956,78,3.07,172.79,84.03800000000004,5.83
carnarvon,40,AU,1584322469,69,-24.87,113.63,80.6,5.7
alpena,1,US,1584322961,67,45.06,-83.43,24.998000000000026,2.6
cidreira,100,BR,1584322454,91,-30.18,-50.21,74.33600000000007,6.37
dikson,100,RU,1584322891,100,73.51,80.55,-14.043999999999969,3.7
fuerte olimpo,59,PY,1584322969,57,-21.04,-57.87,80.85200000000007,1.83
oltu,100,TR,1584322971,91,40.55,42.0,32.378000000000064,1.31
ponta do sol,40,PT,1584322920,67,32.67,-17.1,62.6,3.6
zarichne,12,UA,1584322976,49,51.81,26.13,28.43600000000007,3.22
ampanihy,4,MG,1584322978,97,-24.7,44.75,68.59400000000008,2.3
kaitangata,100,NZ,1584322470,70,-46.28,169.85,57.00200000000008,1.34
georgetown,20,MY,1584322776,78,5.41,100.34,84.2,1.12
hermanus,41,ZA,1584322192,89,-34.42,19.23,62.99600000000005,1.34
shahrud,0,IR,1584322986,71,36.42,54.98,44.024000000000015,1.16
mar del plata,75,AR,1584322853,87,-38.0,-57.56,60.008,1.5
sao joao da barra,0,BR,1584322991,87,-21.64,-41.05,77.73800000000004,5.44
kapaa,75,US,1584322463,74,22.08,-159.32,80.6,4.6
yulara,0,AU,1584322995,9,-25.24,130.99,84.2,3.6
rocha,26,UY,1584322245,91,-34.48,-54.33,53.87000000000006,1.06
port elizabeth,90,ZA,1584322906,93,-33.92,25.57,62.6,3.6
beringovskiy,77,RU,1584323003,85,63.05,179.32,29.10200000000008,3.03
akureyri,90,IS,1584323008,86,65.68,-18.09,30.2,8.7
lasa,5,IT,1584322437,85,46.62,10.7,32.0,0.5
marilia,0,BR,1584323012,84,-22.21,-49.95,72.86000000000008,0.64
hoquiam,1,US,1584322852,31,46.98,-123.89,48.992,3.1
cumberland,90,US,1584323016,66,35.05,-78.87,51.998000000000026,3.6
klaksvik,100,FO,1584322213,71,62.23,-6.59,32.0,6.2
debre tabor,39,ET,1584323022,45,11.85,38.02,57.86600000000001,1.29
arraial do cabo,0,BR,1584323025,83,-22.97,-42.03,77.9,11.88
warwick,1,US,1584323027,64,41.7,-71.42,39.2,3.55
nhulunbuy,20,AU,1584322901,55,-12.23,136.77,89.6,3.1
cape town,20,ZA,1584322609,68,-33.93,18.42,64.99400000000007,7.2
tuktoyaktuk,5,CA,1584322481,76,69.45,-133.04,-5.799999999999947,3.1
ushuaia,40,AR,1584323035,76,-54.8,-68.3,53.6,3.1
pochutla,40,MX,1584323037,74,15.74,-96.47,82.4,5.7
pisco,20,PE,1584322444,83,-13.7,-76.22,73.4,5.7
provideniya,20,RU,1584323044,92,64.38,-173.3,24.8,5.0
castro,13,BR,1584322343,86,-24.79,-50.01,65.78600000000007,1.53
shingu,75,JP,1584322479,75,33.73,135.98,44.6,7.7
boca do acre,100,BR,1584323050,93,-8.75,-67.4,76.49600000000005,0.79
upernavik,0,GL,1584322323,78,72.79,-56.15,-22.161999999999956,2.75
vaini,90,TO,1584322883,83,-21.2,-175.2,84.2,6.2
villa carlos paz,90,AR,1584323056,100,-31.42,-64.5,60.008,1.5
bilibino,66,RU,1584323059,82,68.05,166.44,4.891999999999996,1.56
hamilton,90,US,1584322487,86,39.18,-84.53,42.998000000000026,1.55
burnie,78,AU,1584323063,73,-41.07,145.92,64.99400000000007,3.13
albany,1,US,1584322898,63,42.6,-73.97,33.8,2.1
